# x_m, y_m, w_tr_right_m, w_tr_left_m
-5.76462e+01,7.70134e+01,1.10000e+00,1.10000e+00
-5.85875e+01,7.75889e+01,1.10000e+00,1.10000e+00
-5.95027e+01,7.82106e+01,1.10000e+00,1.10000e+00
-6.03884e+01,7.88783e+01,1.10000e+00,1.10000e+00
-6.12410e+01,7.95913e+01,1.10000e+00,1.10000e+00
-6.20570e+01,8.03483e+01,1.10000e+00,1.10000e+00
-6.28327e+01,8.11476e+01,1.10000e+00,1.10000e+00
-6.35643e+01,8.19870e+01,1.10000e+00,1.10000e+00
-6.42482e+01,8.28640e+01,1.10000e+00,1.10000e+00
-6.48809e+01,8.37755e+01,1.10000e+00,1.10000e+00
-6.54588e+01,8.47185e+01,1.10000e+00,1.10000e+00
-6.59787e+01,8.56891e+01,1.10000e+00,1.10000e+00
-6.64374e+01,8.66838e+01,1.10000e+00,1.10000e+00
-6.68319e+01,8.76983e+01,1.10000e+00,1.10000e+00
-6.71596e+01,8.87286e+01,1.10000e+00,1.10000e+00
-6.74181e+01,8.97702e+01,1.10000e+00,1.10000e+00
-6.76053e+01,9.08188e+01,1.10000e+00,1.10000e+00
-6.77197e+01,9.18698e+01,1.10000e+00,1.10000e+00
-6.77598e+01,9.29187e+01,1.10000e+00,1.10000e+00
-6.77250e+01,9.39610e+01,1.10000e+00,1.10000e+00
-6.76149e+01,9.49922e+01,1.10000e+00,1.10000e+00
-6.74298e+01,9.60081e+01,1.10000e+00,1.10000e+00
-6.71702e+01,9.70043e+01,1.10000e+00,1.10000e+00
-6.68377e+01,9.79768e+01,1.10000e+00,1.10000e+00
-6.64342e+01,9.89218e+01,1.10000e+00,1.10000e+00
-6.59618e+01,9.98355e+01,1.10000e+00,1.10000e+00
-6.54236e+01,1.00715e+02,1.10000e+00,1.10000e+00
-6.48227e+01,1.01556e+02,1.10000e+00,1.10000e+00
-6.41625e+01,1.02355e+02,1.10000e+00,1.10000e+00
-6.34470e+01,1.03112e+02,1.10000e+00,1.10000e+00
-6.26799e+01,1.03821e+02,1.10000e+00,1.10000e+00
-6.18657e+01,1.04483e+02,1.10000e+00,1.10000e+00
-6.10084e+01,1.05093e+02,1.10000e+00,1.10000e+00
-6.01124e+01,1.05651e+02,1.10000e+00,1.10000e+00
-5.91820e+01,1.06156e+02,1.10000e+00,1.10000e+00
-5.82214e+01,1.06605e+02,1.10000e+00,1.10000e+00
-5.72348e+01,1.06999e+02,1.10000e+00,1.10000e+00
-5.62261e+01,1.07337e+02,1.10000e+00,1.10000e+00
-5.51990e+01,1.07619e+02,1.10000e+00,1.10000e+00
-5.41570e+01,1.07845e+02,1.10000e+00,1.10000e+00
-5.31032e+01,1.08015e+02,1.10000e+00,1.10000e+00
-5.20404e+01,1.08131e+02,1.10000e+00,1.10000e+00
-5.09710e+01,1.08194e+02,1.10000e+00,1.10000e+00
-4.98973e+01,1.08206e+02,1.10000e+00,1.10000e+00
-4.88212e+01,1.08168e+02,1.10000e+00,1.10000e+00
-4.77444e+01,1.08082e+02,1.10000e+00,1.10000e+00
-4.66682e+01,1.07951e+02,1.10000e+00,1.10000e+00
-4.55939e+01,1.07778e+02,1.10000e+00,1.10000e+00
-4.45225e+01,1.07564e+02,1.10000e+00,1.10000e+00
-4.34547e+01,1.07313e+02,1.10000e+00,1.10000e+00
-4.23911e+01,1.07027e+02,1.10000e+00,1.10000e+00
-4.13321e+01,1.06710e+02,1.10000e+00,1.10000e+00
-4.02781e+01,1.06365e+02,1.10000e+00,1.10000e+00
-3.92291e+01,1.05994e+02,1.10000e+00,1.10000e+00
-3.81853e+01,1.05601e+02,1.10000e+00,1.10000e+00
-3.71465e+01,1.05189e+02,1.10000e+00,1.10000e+00
-3.61125e+01,1.04761e+02,1.10000e+00,1.10000e+00
-3.50831e+01,1.04320e+02,1.10000e+00,1.10000e+00
-3.40581e+01,1.03869e+02,1.10000e+00,1.10000e+00
-3.30371e+01,1.03411e+02,1.10000e+00,1.10000e+00
-3.20196e+01,1.02947e+02,1.10000e+00,1.10000e+00
-3.10055e+01,1.02481e+02,1.10000e+00,1.10000e+00
-2.99942e+01,1.02016e+02,1.10000e+00,1.10000e+00
-2.89854e+01,1.01552e+02,1.10000e+00,1.10000e+00
-2.79787e+01,1.01092e+02,1.10000e+00,1.10000e+00
-2.69737e+01,1.00638e+02,1.10000e+00,1.10000e+00
-2.59701e+01,1.00192e+02,1.10000e+00,1.10000e+00
-2.49675e+01,9.97545e+01,1.10000e+00,1.10000e+00
-2.39654e+01,9.93272e+01,1.10000e+00,1.10000e+00
-2.29635e+01,9.89114e+01,1.10000e+00,1.10000e+00
-2.19614e+01,9.85080e+01,1.10000e+00,1.10000e+00
-2.09589e+01,9.81180e+01,1.10000e+00,1.10000e+00
-1.99554e+01,9.77420e+01,1.10000e+00,1.10000e+00
-1.89507e+01,9.73807e+01,1.10000e+00,1.10000e+00
-1.79444e+01,9.70346e+01,1.10000e+00,1.10000e+00
-1.69362e+01,9.67040e+01,1.10000e+00,1.10000e+00
-1.59258e+01,9.63891e+01,1.10000e+00,1.10000e+00
-1.49129e+01,9.60900e+01,1.10000e+00,1.10000e+00
-1.38972e+01,9.58068e+01,1.10000e+00,1.10000e+00
-1.28785e+01,9.55392e+01,1.10000e+00,1.10000e+00
-1.18565e+01,9.52869e+01,1.10000e+00,1.10000e+00
-1.08310e+01,9.50498e+01,1.10000e+00,1.10000e+00
-9.80173e+00,9.48272e+01,1.10000e+00,1.10000e+00
-8.76860e+00,9.46185e+01,1.10000e+00,1.10000e+00
-7.73143e+00,9.44233e+01,1.10000e+00,1.10000e+00
-6.69009e+00,9.42405e+01,1.10000e+00,1.10000e+00
-5.64447e+00,9.40696e+01,1.10000e+00,1.10000e+00
-4.59450e+00,9.39094e+01,1.10000e+00,1.10000e+00
-3.54014e+00,9.37590e+01,1.10000e+00,1.10000e+00
-2.48137e+00,9.36174e+01,1.10000e+00,1.10000e+00
-1.41822e+00,9.34834e+01,1.10000e+00,1.10000e+00
-3.50750e-01,9.33558e+01,1.10000e+00,1.10000e+00
7.20960e-01,9.32334e+01,1.10000e+00,1.10000e+00
1.79677e+00,9.31149e+01,1.10000e+00,1.10000e+00
2.87653e+00,9.29990e+01,1.10000e+00,1.10000e+00
3.96001e+00,9.28844e+01,1.10000e+00,1.10000e+00
5.04697e+00,9.27696e+01,1.10000e+00,1.10000e+00
6.13712e+00,9.26532e+01,1.10000e+00,1.10000e+00
7.23012e+00,9.25339e+01,1.10000e+00,1.10000e+00
8.32559e+00,9.24102e+01,1.10000e+00,1.10000e+00
9.42310e+00,9.22806e+01,1.10000e+00,1.10000e+00
1.05222e+01,9.21437e+01,1.10000e+00,1.10000e+00
1.16222e+01,9.19981e+01,1.10000e+00,1.10000e+00
1.27228e+01,9.18423e+01,1.10000e+00,1.10000e+00
1.38231e+01,9.16749e+01,1.10000e+00,1.10000e+00
1.49226e+01,9.14946e+01,1.10000e+00,1.10000e+00
1.60204e+01,9.12999e+01,1.10000e+00,1.10000e+00
1.71159e+01,9.10897e+01,1.10000e+00,1.10000e+00
1.82080e+01,9.08625e+01,1.10000e+00,1.10000e+00
1.92959e+01,9.06171e+01,1.10000e+00,1.10000e+00
2.03786e+01,9.03523e+01,1.10000e+00,1.10000e+00
2.14551e+01,9.00671e+01,1.10000e+00,1.10000e+00
2.25242e+01,8.97603e+01,1.10000e+00,1.10000e+00
2.35847e+01,8.94309e+01,1.10000e+00,1.10000e+00
2.46355e+01,8.90780e+01,1.10000e+00,1.10000e+00
2.56752e+01,8.87007e+01,1.10000e+00,1.10000e+00
2.67023e+01,8.82983e+01,1.10000e+00,1.10000e+00
2.77156e+01,8.78701e+01,1.10000e+00,1.10000e+00
2.87133e+01,8.74155e+01,1.10000e+00,1.10000e+00
2.96940e+01,8.69340e+01,1.10000e+00,1.10000e+00
3.06559e+01,8.64253e+01,1.10000e+00,1.10000e+00
3.15972e+01,8.58890e+01,1.10000e+00,1.10000e+00
3.25162e+01,8.53250e+01,1.10000e+00,1.10000e+00
3.34108e+01,8.47334e+01,1.10000e+00,1.10000e+00
3.42792e+01,8.41142e+01,1.10000e+00,1.10000e+00
3.51192e+01,8.34676e+01,1.10000e+00,1.10000e+00
3.59286e+01,8.27940e+01,1.10000e+00,1.10000e+00
3.67054e+01,8.20940e+01,1.10000e+00,1.10000e+00
3.74475e+01,8.13679e+01,1.10000e+00,1.10000e+00
3.81525e+01,8.06167e+01,1.10000e+00,1.10000e+00
3.88186e+01,7.98409e+01,1.10000e+00,1.10000e+00
3.94438e+01,7.90414e+01,1.10000e+00,1.10000e+00
4.00262e+01,7.82191e+01,1.10000e+00,1.10000e+00
4.05642e+01,7.73750e+01,1.10000e+00,1.10000e+00
4.10562e+01,7.65100e+01,1.10000e+00,1.10000e+00
4.15010e+01,7.56252e+01,1.10000e+00,1.10000e+00
4.18973e+01,7.47216e+01,1.10000e+00,1.10000e+00
4.22446e+01,7.38002e+01,1.10000e+00,1.10000e+00
4.25421e+01,7.28622e+01,1.10000e+00,1.10000e+00
4.27898e+01,7.19086e+01,1.10000e+00,1.10000e+00
4.29877e+01,7.09404e+01,1.10000e+00,1.10000e+00
4.31364e+01,6.99586e+01,1.10000e+00,1.10000e+00
4.32367e+01,6.89643e+01,1.10000e+00,1.10000e+00
4.32901e+01,6.79583e+01,1.10000e+00,1.10000e+00
4.32982e+01,6.69417e+01,1.10000e+00,1.10000e+00
4.32631e+01,6.59151e+01,1.10000e+00,1.10000e+00
4.31870e+01,6.48796e+01,1.10000e+00,1.10000e+00
4.30727e+01,6.38358e+01,1.10000e+00,1.10000e+00
4.29229e+01,6.27845e+01,1.10000e+00,1.10000e+00
4.27407e+01,6.17264e+01,1.10000e+00,1.10000e+00
4.25292e+01,6.06621e+01,1.10000e+00,1.10000e+00
4.22917e+01,5.95925e+01,1.10000e+00,1.10000e+00
4.20316e+01,5.85179e+01,1.10000e+00,1.10000e+00
4.17523e+01,5.74391e+01,1.10000e+00,1.10000e+00
4.14572e+01,5.63565e+01,1.10000e+00,1.10000e+00
4.11496e+01,5.52707e+01,1.10000e+00,1.10000e+00
4.08329e+01,5.41822e+01,1.10000e+00,1.10000e+00
4.05101e+01,5.30915e+01,1.10000e+00,1.10000e+00
4.01844e+01,5.19989e+01,1.10000e+00,1.10000e+00
3.98586e+01,5.09049e+01,1.10000e+00,1.10000e+00
3.95352e+01,4.98099e+01,1.10000e+00,1.10000e+00
3.92165e+01,4.87143e+01,1.10000e+00,1.10000e+00
3.89048e+01,4.76183e+01,1.10000e+00,1.10000e+00
3.86016e+01,4.65224e+01,1.10000e+00,1.10000e+00
3.83083e+01,4.54267e+01,1.10000e+00,1.10000e+00
3.80259e+01,4.43317e+01,1.10000e+00,1.10000e+00
3.77552e+01,4.32375e+01,1.10000e+00,1.10000e+00
3.74964e+01,4.21444e+01,1.10000e+00,1.10000e+00
3.72498e+01,4.10528e+01,1.10000e+00,1.10000e+00
3.70151e+01,3.99628e+01,1.10000e+00,1.10000e+00
3.67919e+01,3.88746e+01,1.10000e+00,1.10000e+00
3.65796e+01,3.77886e+01,1.10000e+00,1.10000e+00
3.63772e+01,3.67050e+01,1.10000e+00,1.10000e+00
3.61838e+01,3.56240e+01,1.10000e+00,1.10000e+00
3.59979e+01,3.45459e+01,1.10000e+00,1.10000e+00
3.58181e+01,3.34709e+01,1.10000e+00,1.10000e+00
3.56429e+01,3.23994e+01,1.10000e+00,1.10000e+00
3.54704e+01,3.13317e+01,1.10000e+00,1.10000e+00
3.52989e+01,3.02680e+01,1.10000e+00,1.10000e+00
3.51262e+01,2.92088e+01,1.10000e+00,1.10000e+00
3.49503e+01,2.81543e+01,1.10000e+00,1.10000e+00
3.47690e+01,2.71051e+01,1.10000e+00,1.10000e+00
3.45802e+01,2.60614e+01,1.10000e+00,1.10000e+00
3.43816e+01,2.50239e+01,1.10000e+00,1.10000e+00
3.41708e+01,2.39929e+01,1.10000e+00,1.10000e+00
3.39457e+01,2.29690e+01,1.10000e+00,1.10000e+00
3.37038e+01,2.19528e+01,1.10000e+00,1.10000e+00
3.34429e+01,2.09449e+01,1.10000e+00,1.10000e+00
3.31608e+01,1.99460e+01,1.10000e+00,1.10000e+00
3.28554e+01,1.89568e+01,1.10000e+00,1.10000e+00
3.25244e+01,1.79780e+01,1.10000e+00,1.10000e+00
3.21659e+01,1.70106e+01,1.10000e+00,1.10000e+00
3.17780e+01,1.60552e+01,1.10000e+00,1.10000e+00
3.13588e+01,1.51130e+01,1.10000e+00,1.10000e+00
3.09067e+01,1.41849e+01,1.10000e+00,1.10000e+00
3.04203e+01,1.32720e+01,1.10000e+00,1.10000e+00
2.98981e+01,1.23754e+01,1.10000e+00,1.10000e+00
2.93390e+01,1.14964e+01,1.10000e+00,1.10000e+00
2.87421e+01,1.06362e+01,1.10000e+00,1.10000e+00
2.81066e+01,9.79610e+00,1.10000e+00,1.10000e+00
2.74321e+01,8.97768e+00,1.10000e+00,1.10000e+00
2.67182e+01,8.18241e+00,1.10000e+00,1.10000e+00
2.59650e+01,7.41190e+00,1.10000e+00,1.10000e+00
2.51728e+01,6.66786e+00,1.10000e+00,1.10000e+00
2.43423e+01,5.95206e+00,1.10000e+00,1.10000e+00
2.34742e+01,5.26640e+00,1.10000e+00,1.10000e+00
2.25699e+01,4.61284e+00,1.10000e+00,1.10000e+00
2.16311e+01,3.99348e+00,1.10000e+00,1.10000e+00
2.06595e+01,3.41048e+00,1.10000e+00,1.10000e+00
1.96577e+01,2.86614e+00,1.10000e+00,1.10000e+00
1.86282e+01,2.36285e+00,1.10000e+00,1.10000e+00
1.75743e+01,1.90307e+00,1.10000e+00,1.10000e+00
1.64995e+01,1.48936e+00,1.10000e+00,1.10000e+00
1.54074e+01,1.12427e+00,1.10000e+00,1.10000e+00
1.43022e+01,8.10340e-01,1.10000e+00,1.10000e+00
1.31880e+01,5.50060e-01,1.10000e+00,1.10000e+00
1.20693e+01,3.45820e-01,1.10000e+00,1.10000e+00
1.09505e+01,1.99890e-01,1.10000e+00,1.10000e+00
9.83617e+00,1.14350e-01,1.10000e+00,1.10000e+00
8.73098e+00,9.11200e-02,1.10000e+00,1.10000e+00
7.63947e+00,1.31820e-01,1.10000e+00,1.10000e+00
6.56615e+00,2.37840e-01,1.10000e+00,1.10000e+00
5.51540e+00,4.10230e-01,1.10000e+00,1.10000e+00
4.49144e+00,6.49690e-01,1.10000e+00,1.10000e+00
3.49829e+00,9.56520e-01,1.10000e+00,1.10000e+00
2.53972e+00,1.33060e+00,1.10000e+00,1.10000e+00
1.61918e+00,1.77134e+00,1.10000e+00,1.10000e+00
7.39800e-01,2.27765e+00,1.10000e+00,1.10000e+00
-9.56900e-02,2.84789e+00,1.10000e+00,1.10000e+00
-8.84990e-01,3.47990e+00,1.10000e+00,1.10000e+00
-1.62617e+00,4.17101e+00,1.10000e+00,1.10000e+00
-2.31771e+00,4.91815e+00,1.10000e+00,1.10000e+00
-2.95847e+00,5.71784e+00,1.10000e+00,1.10000e+00
-3.54765e+00,6.56635e+00,1.10000e+00,1.10000e+00
-4.08482e+00,7.45966e+00,1.10000e+00,1.10000e+00
-4.56983e+00,8.39358e+00,1.10000e+00,1.10000e+00
-5.00290e+00,9.36382e+00,1.10000e+00,1.10000e+00
-5.38452e+00,1.03660e+01,1.10000e+00,1.10000e+00
-5.71544e+00,1.13958e+01,1.10000e+00,1.10000e+00
-5.99672e+00,1.24488e+01,1.10000e+00,1.10000e+00
-6.22964e+00,1.35209e+01,1.10000e+00,1.10000e+00
-6.41574e+00,1.46081e+01,1.10000e+00,1.10000e+00
-6.55675e+00,1.57066e+01,1.10000e+00,1.10000e+00
-6.65465e+00,1.68131e+01,1.10000e+00,1.10000e+00
-6.71156e+00,1.79243e+01,1.10000e+00,1.10000e+00
-6.72982e+00,1.90377e+01,1.10000e+00,1.10000e+00
-6.71190e+00,2.01510e+01,1.10000e+00,1.10000e+00
-6.66043e+00,2.12626e+01,1.10000e+00,1.10000e+00
-6.57817e+00,2.23711e+01,1.10000e+00,1.10000e+00
-6.46800e+00,2.34755e+01,1.10000e+00,1.10000e+00
-6.33289e+00,2.45754e+01,1.10000e+00,1.10000e+00
-6.17593e+00,2.56703e+01,1.10000e+00,1.10000e+00
-6.00024e+00,2.67603e+01,1.10000e+00,1.10000e+00
-5.80905e+00,2.78455e+01,1.10000e+00,1.10000e+00
-5.60559e+00,2.89264e+01,1.10000e+00,1.10000e+00
-5.39316e+00,3.00034e+01,1.10000e+00,1.10000e+00
-5.17507e+00,3.10774e+01,1.10000e+00,1.10000e+00
-4.95462e+00,3.21489e+01,1.10000e+00,1.10000e+00
-4.73512e+00,3.32188e+01,1.10000e+00,1.10000e+00
-4.51983e+00,3.42879e+01,1.10000e+00,1.10000e+00
-4.31200e+00,3.53569e+01,1.10000e+00,1.10000e+00
-4.11482e+00,3.64266e+01,1.10000e+00,1.10000e+00
-3.93140e+00,3.74975e+01,1.10000e+00,1.10000e+00
-3.76479e+00,3.85700e+01,1.10000e+00,1.10000e+00
-3.61793e+00,3.96444e+01,1.10000e+00,1.10000e+00
-3.49366e+00,4.07208e+01,1.10000e+00,1.10000e+00
-3.39470e+00,4.17989e+01,1.10000e+00,1.10000e+00
-3.32362e+00,4.28783e+01,1.10000e+00,1.10000e+00
-3.28285e+00,4.39580e+01,1.10000e+00,1.10000e+00
-3.27467e+00,4.50369e+01,1.10000e+00,1.10000e+00
-3.30117e+00,4.61137e+01,1.10000e+00,1.10000e+00
-3.36429e+00,4.71867e+01,1.10000e+00,1.10000e+00
-3.46580e+00,4.82539e+01,1.10000e+00,1.10000e+00
-3.60727e+00,4.93134e+01,1.10000e+00,1.10000e+00
-3.79009e+00,5.03629e+01,1.10000e+00,1.10000e+00
-4.01546e+00,5.14003e+01,1.10000e+00,1.10000e+00
-4.28439e+00,5.24231e+01,1.10000e+00,1.10000e+00
-4.59766e+00,5.34290e+01,1.10000e+00,1.10000e+00
-4.95588e+00,5.44157e+01,1.10000e+00,1.10000e+00
-5.35940e+00,5.53809e+01,1.10000e+00,1.10000e+00
-5.80839e+00,5.63223e+01,1.10000e+00,1.10000e+00
-6.30276e+00,5.72379e+01,1.10000e+00,1.10000e+00
-6.84222e+00,5.81257e+01,1.10000e+00,1.10000e+00
-7.42622e+00,5.89840e+01,1.10000e+00,1.10000e+00
-8.05397e+00,5.98112e+01,1.10000e+00,1.10000e+00
-8.72443e+00,6.06062e+01,1.10000e+00,1.10000e+00
-9.43633e+00,6.13678e+01,1.10000e+00,1.10000e+00
-1.01881e+01,6.20956e+01,1.10000e+00,1.10000e+00
-1.09780e+01,6.27892e+01,1.10000e+00,1.10000e+00
-1.18041e+01,6.34486e+01,1.10000e+00,1.10000e+00
-1.26641e+01,6.40739e+01,1.10000e+00,1.10000e+00
-1.35558e+01,6.46657e+01,1.10000e+00,1.10000e+00
-1.44768e+01,6.52246e+01,1.10000e+00,1.10000e+00
-1.54246e+01,6.57516e+01,1.10000e+00,1.10000e+00
-1.63966e+01,6.62476e+01,1.10000e+00,1.10000e+00
-1.73901e+01,6.67140e+01,1.10000e+00,1.10000e+00
-1.84027e+01,6.71520e+01,1.10000e+00,1.10000e+00
-1.94316e+01,6.75631e+01,1.10000e+00,1.10000e+00
-2.04744e+01,6.79487e+01,1.10000e+00,1.10000e+00
-2.15285e+01,6.83105e+01,1.10000e+00,1.10000e+00
-2.25916e+01,6.86501e+01,1.10000e+00,1.10000e+00
-2.36615e+01,6.89691e+01,1.10000e+00,1.10000e+00
-2.47360e+01,6.92690e+01,1.10000e+00,1.10000e+00
-2.58133e+01,6.95515e+01,1.10000e+00,1.10000e+00
-2.68917e+01,6.98181e+01,1.10000e+00,1.10000e+00
-2.79697e+01,7.00702e+01,1.10000e+00,1.10000e+00
-2.90462e+01,7.03091e+01,1.10000e+00,1.10000e+00
-3.01204e+01,7.05359e+01,1.10000e+00,1.10000e+00
-3.11915e+01,7.07519e+01,1.10000e+00,1.10000e+00
-3.22595e+01,7.09578e+01,1.10000e+00,1.10000e+00
-3.33243e+01,7.11546e+01,1.10000e+00,1.10000e+00
-3.43861e+01,7.13429e+01,1.10000e+00,1.10000e+00
-3.54454e+01,7.15237e+01,1.10000e+00,1.10000e+00
-3.65025e+01,7.16977e+01,1.10000e+00,1.10000e+00
-3.75582e+01,7.18659e+01,1.10000e+00,1.10000e+00
-3.86129e+01,7.20294e+01,1.10000e+00,1.10000e+00
-3.96673e+01,7.21895e+01,1.10000e+00,1.10000e+00
-4.07220e+01,7.23476e+01,1.10000e+00,1.10000e+00
-4.17773e+01,7.25055e+01,1.10000e+00,1.10000e+00
-4.28334e+01,7.26653e+01,1.10000e+00,1.10000e+00
-4.38905e+01,7.28294e+01,1.10000e+00,1.10000e+00
-4.49483e+01,7.30006e+01,1.10000e+00,1.10000e+00
-4.60065e+01,7.31821e+01,1.10000e+00,1.10000e+00
-4.70643e+01,7.33771e+01,1.10000e+00,1.10000e+00
-4.81211e+01,7.35892e+01,1.10000e+00,1.10000e+00
-4.91756e+01,7.38219e+01,1.10000e+00,1.10000e+00
-5.02265e+01,7.40788e+01,1.10000e+00,1.10000e+00
-5.12723e+01,7.43636e+01,1.10000e+00,1.10000e+00
-5.23113e+01,7.46796e+01,1.10000e+00,1.10000e+00
-5.33414e+01,7.50302e+01,1.10000e+00,1.10000e+00
-5.43606e+01,7.54182e+01,1.10000e+00,1.10000e+00
-5.53663e+01,7.58464e+01,1.10000e+00,1.10000e+00
-5.63561e+01,7.63169e+01,1.10000e+00,1.10000e+00
-5.73272e+01,7.68317e+01,1.10000e+00,1.10000e+00
